SrNo,CalendarDate,Sales,CategoryByGender,Categories,Brand,Colors,Size,In_Stock,Discount,Customer_Return,Rating
d632,23/09/16,2947,Men,Flip Flops,Adidas,Blue,41,Yes,No,Yes,3
d633,24/09/16,3143,Men,Boots,Kate Spade,Red,40,Yes,No,No,4
d634,25/09/16,3073,Men,Sneakers,Kate Spade,Red,39,Yes,No,No,5
d635,26/09/16,3079,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,No,5
d636,27/09/16,3284,Men,Sneakers,Tommy Hilfiger,White,37,Yes,Yes,No,5
d637,28/09/16,3072,Men,Sneakers,Coach,Pink,39,Yes,Yes,No,5
d638,29/09/16,3229,Men,Boots,Aldo,Black,40,Yes,Yes,No,4
d639,30/09/16,2909,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,Yes,3
d640,01/10/16,2996,Women,Stilettos,Coach,Pink,37,Yes,Yes,No,4
d641,02/10/16,2971,Men,Flip Flops,Adidas,Blue,40,Yes,No,No,5
d642,03/10/16,3291,Women,Wedges,Aldo,Black,37,Yes,No,No,5
d643,04/10/16,3049,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,No,No,5
d644,05/10/16,3048,Men,Boots,Kate Spade,Red,40,Yes,No,No,5
d645,06/10/16,3028,Men,Boots,Aldo,Black,40,Yes,No,No,5
d646,07/10/16,3270,Men,Sneakers,Aldo,Black,37,Yes,Yes,No,5
d647,08/10/16,3108,Men,Boots,Adidas,Blue,37,Yes,Yes,No,5
d648,09/10/16,2832,Men,Flip Flops,Coach,Pink,37,Yes,Yes,No,5
d649,10/10/16,2925,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,No,5
d650,11/10/16,2751,Women,Stilettos,Kate Spade,Red,40,Yes,Yes,Yes,1
d651,12/10/16,3177,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,5
d652,13/10/16,2898,Men,Boots,Tommy Hilfiger,White,38,Yes,No,Yes,3
d653,14/10/16,3036,Men,Boots,Coach,Pink,38,Yes,No,No,5
d654,15/10/16,3103,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,Yes,3
d655,16/10/16,3156,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,No,4
d656,17/10/16,3211,Women,Wedges,Coach,Pink,40,Yes,No,No,5
d657,18/10/16,2785,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,Yes,No,5
d658,19/10/16,2910,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,5
d659,20/10/16,2923,Men,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,No,5
d660,21/10/16,3091,Women,Stilettos,Aldo,Black,38,Yes,No,Yes,1
d661,22/10/16,2861,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d662,23/10/16,3060,Men,Sneakers,Kate Spade,Red,37,Yes,No,Yes,3
d663,24/10/16,3070,Men,Boots,Coach,Pink,40,Yes,Yes,No,5
d664,25/10/16,3536,Men,Sneakers,Adidas,Blue,41,Yes,Yes,Yes,3
d665,26/10/16,3119,Men,Boots,Aldo,Black,38,Yes,No,No,4
d666,27/10/16,3079,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,No,5
d667,28/10/16,5079,Men,Sneakers,Coach,Pink,37,Yes,Yes,Yes,2
d668,29/10/16,3762,Women,Stilettos,Aldo,Black,38,Yes,No,Yes,3
d669,30/10/16,3674,Men,Flip Flops,Coach,Pink,37,Yes,No,Yes,1
d670,31/10/16,3795,Men,Boots,Coach,Pink,40,Yes,No,Yes,2
d671,01/11/16,4585,Men,Flip Flops,Aldo,Black,41,Yes,No,No,5
d672,02/11/16,3496,Men,Sneakers,Coach,Pink,39,Yes,Yes,No,5
d673,03/11/16,3120,Men,Boots,Kate Spade,Red,37,Yes,Yes,No,5
d674,04/11/16,2914,Men,Boots,Aldo,Black,37,Yes,Yes,No,5
d675,05/11/16,2875,Men,Boots,Coach,Pink,39,Yes,No,No,4
d676,06/11/16,2959,Women,Stilettos,Coach,Pink,40,Yes,No,No,5
d677,07/11/16,3339,Men,Boots,Coach,Pink,40,Yes,No,Yes,2
d678,08/11/16,3492,Men,Boots,Kate Spade,Red,37,Yes,No,No,3
d679,09/11/16,3564,Men,Boots,Aldo,Black,39,Yes,Yes,Yes,1
d680,10/11/16,3122,Men,Flip Flops,Adidas,Blue,40,Yes,No,Yes,2
d681,11/11/16,3592,Men,Sneakers,Aldo,Black,41,Yes,Yes,No,5
d682,12/11/16,3472,Men,Boots,Kate Spade,Red,39,Yes,Yes,No,5
d683,13/11/16,3393,Men,Boots,Aldo,Black,41,Yes,No,No,5
d684,14/11/16,3213,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,5
d685,15/11/16,3313,Women,Stilettos,Tommy Hilfiger,White,39,Yes,Yes,No,4
d686,16/11/16,4029,Men,Boots,Coach,Pink,40,Yes,Yes,No,5
d687,17/11/16,3518,Men,Flip Flops,Adidas,Blue,37,Yes,No,No,5
d688,18/11/16,3300,Men,Flip Flops,Coach,Pink,40,Yes,Yes,No,5
d689,19/11/16,3248,Women,Wedges,Tommy Hilfiger,White,40,Yes,Yes,No,4
d690,20/11/16,3609,Women,Stilettos,Coach,Pink,38,Yes,Yes,No,4
d691,21/11/16,3338,Women,Stilettos,Coach,Pink,39,Yes,No,Yes,1
d692,22/11/16,3361,Women,Stilettos,Coach,Pink,38,Yes,No,No,4
d693,23/11/16,3419,Women,Wedges,Adidas,Blue,37,Yes,Yes,No,4
d694,24/11/16,3598,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d695,25/11/16,3417,Men,Boots,Coach,Pink,38,Yes,No,No,5
d696,26/11/16,3273,Women,Wedges,Kate Spade,Red,38,Yes,No,No,5
d697,27/11/16,3250,Women,Wedges,Adidas,Blue,39,Yes,No,No,5
d698,28/11/16,3296,Men,Sneakers,Coach,Pink,39,Yes,No,No,5
d699,29/11/16,3412,Women,Stilettos,Aldo,Black,40,Yes,No,No,4
d700,30/11/16,3162,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,4
d701,01/12/16,3212,Men,Sneakers,Coach,Pink,40,Yes,No,Yes,1
d702,02/12/16,3068,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,No,4
d703,03/12/16,3241,Men,Boots,Kate Spade,Red,41,Yes,Yes,No,4
d704,04/12/16,3067,Men,Sneakers,Adidas,Blue,38,Yes,No,No,5
d705,05/12/16,3140,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d706,06/12/16,3208,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,Yes,No,5
d707,07/12/16,3446,Men,Sneakers,Coach,Pink,41,Yes,No,Yes,1
d708,08/12/16,3506,Men,Flip Flops,Adidas,Blue,37,Yes,Yes,Yes,1
d709,09/12/16,2998,Men,Sneakers,Kate Spade,Red,40,Yes,Yes,Yes,1
d710,10/12/16,3073,Men,Boots,Kate Spade,Red,41,Yes,No,Yes,1
d711,11/12/16,3101,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,No,5
d712,12/12/16,3430,Men,Flip Flops,Aldo,Black,41,Yes,No,No,5
d713,13/12/16,3253,Men,Boots,Kate Spade,Red,38,Yes,No,Yes,1
d714,14/12/16,3133,Women,Stilettos,Adidas,Blue,38,Yes,No,No,5
d715,15/12/16,3195,Men,Boots,Aldo,Black,40,Yes,No,Yes,1
d716,16/12/16,16526,Men,Flip Flops,Adidas,Blue,40,Yes,Yes,No,5
d717,17/12/16,16062,Men,Sneakers,Coach,Pink,41,Yes,Yes,Yes,1
d718,18/12/16,15671,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,Yes,1
d719,19/12/16,14329,Men,Sneakers,Coach,Pink,39,Yes,No,Yes,1
d720,20/12/16,16013,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,1
d721,21/12/16,15586,Men,Flip Flops,Adidas,Blue,38,Yes,Yes,No,5
d722,22/12/16,16930,Men,Sneakers,Kate Spade,Red,37,Yes,No,No,5
d723,23/12/16,14720,Men,Boots,Kate Spade,Red,38,Yes,No,Yes,1
d724,24/12/16,17703,Men,Sneakers,Coach,Pink,40,Yes,Yes,No,5
d725,25/12/16,16671,Women,Stilettos,Kate Spade,Red,40,Yes,No,Yes,1
d726,26/12/16,15198,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,Yes,No,5
d727,27/12/16,15404,Men,Boots,Kate Spade,Red,40,Yes,No,Yes,2
d728,28/12/16,14980,Women,Wedges,Coach,Pink,41,Yes,No,No,4
d729,29/12/16,16199,Men,Sneakers,Kate Spade,Red,38,Yes,No,Yes,1
d730,30/12/16,15240,Men,Flip Flops,Aldo,Black,38,Yes,Yes,Yes,3
d731,31/12/16,15319,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,No,5
d732,01/01/17,16444,Men,Sneakers,Coach,Pink,39,Yes,No,No,5
d733,02/01/17,18573,Men,Boots,Aldo,Black,40,Yes,No,Yes,3
d734,03/01/17,16856,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,No,5
d735,04/01/17,16772,Men,Flip Flops,Kate Spade,Red,37,Yes,Yes,Yes,1
d736,05/01/17,16406,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d737,06/01/17,17597,Men,Boots,Aldo,Black,37,Yes,No,Yes,2
d738,07/01/17,16903,Men,Sneakers,Adidas,Blue,38,Yes,No,No,4
d739,08/01/17,15601,Men,Boots,Aldo,Black,38,Yes,Yes,Yes,1
d740,09/01/17,15852,Women,Stilettos,Kate Spade,Red,39,Yes,No,Yes,3
d741,10/01/17,15323,Women,Wedges,Adidas,Blue,41,Yes,No,No,5
d742,11/01/17,16332,Women,Stilettos,Coach,Pink,40,Yes,Yes,No,5
d743,12/01/17,15476,Men,Flip Flops,Kate Spade,Red,41,Yes,No,Yes,3
d744,13/01/17,15399,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,5
d745,14/01/17,14507,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d746,15/01/17,15109,Men,Sneakers,Coach,Pink,40,Yes,No,No,5
d747,16/01/17,14242,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,No,No,3
d748,17/01/17,13085,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d749,18/01/17,12755,Women,Wedges,Tommy Hilfiger,White,41,Yes,No,No,5
d750,19/01/17,13284,Men,Flip Flops,Kate Spade,Red,40,Yes,No,No,5
d751,20/01/17,13603,Men,Sneakers,Coach,Pink,37,Yes,No,No,5
d752,21/01/17,13445,Men,Boots,Aldo,Black,38,Yes,No,No,5
d753,22/01/17,13327,Men,Flip Flops,Coach,Pink,40,Yes,Yes,Yes,2
d754,23/01/17,13853,Men,Flip Flops,Aldo,Black,37,Yes,No,No,5
d755,24/01/17,15054,Women,Wedges,Aldo,Black,40,Yes,Yes,No,5
d756,25/01/17,14955,Men,Flip Flops,Coach,Pink,37,Yes,No,Yes,2
d757,26/01/17,15188,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,Yes,3
d758,27/01/17,22674,Men,Sneakers,Kate Spade,Red,41,Yes,Yes,No,5
d759,28/01/17,16770,Men,Flip Flops,Coach,Pink,37,Yes,No,No,5
d760,29/01/17,18347,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,No,5
d761,30/01/17,20902,Men,Flip Flops,Kate Spade,Red,40,Yes,Yes,No,5
d762,31/01/17,27275,Men,Boots,Tommy Hilfiger,White,41,Yes,Yes,No,5
d763,01/02/17,14640,Women,Stilettos,Tommy Hilfiger,White,38,Yes,No,Yes,2
d764,02/02/17,13504,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,No,5
d765,03/02/17,13061,Women,Stilettos,Tommy Hilfiger,White,38,Yes,No,No,5
d766,04/02/17,12612,Men,Boots,Coach,Pink,40,Yes,No,Yes,2
d767,05/02/17,12870,Men,Boots,Kate Spade,Red,37,Yes,No,Yes,1
d768,06/02/17,15149,Men,Boots,Tommy Hilfiger,White,37,Yes,Yes,No,4
d769,07/02/17,14869,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d770,08/02/17,15721,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d771,09/02/17,14226,Women,Stilettos,Coach,Pink,38,Yes,No,No,5
d772,10/02/17,15026,Men,Sneakers,Aldo,Black,41,Yes,Yes,No,5
d773,11/02/17,14944,Men,Flip Flops,Coach,Pink,39,Yes,Yes,Yes,1
d774,12/02/17,16853,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,Yes,No,5
d775,13/02/17,14384,Women,Stilettos,Coach,Pink,37,Yes,Yes,No,5
d776,14/02/17,14592,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,No,5
d777,15/02/17,15345,Men,Boots,Coach,Pink,37,Yes,Yes,Yes,1
d778,16/02/17,14487,Men,Flip Flops,Coach,Pink,39,Yes,No,No,4
d779,17/02/17,16393,Men,Flip Flops,Coach,Pink,38,Yes,No,No,5
d780,18/02/17,14792,Women,Stilettos,Kate Spade,Red,38,Yes,No,No,5
d781,19/02/17,15046,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,5
d782,20/02/17,14531,Men,Sneakers,Kate Spade,Red,37,Yes,No,No,5
d783,21/02/17,13827,Men,Flip Flops,Coach,Pink,37,Yes,Yes,Yes,1
d784,22/02/17,15239,Men,Sneakers,Adidas,Blue,37,Yes,No,No,5
d785,23/02/17,17055,Men,Boots,Coach,Pink,39,Yes,Yes,No,5
d786,24/02/17,15986,Men,Flip Flops,Kate Spade,Red,37,Yes,Yes,No,5
d787,25/02/17,16221,Women,Wedges,Tommy Hilfiger,White,38,Yes,No,Yes,2
d788,26/02/17,15433,Men,Flip Flops,Adidas,Blue,37,Yes,Yes,No,5
d789,27/02/17,16945,Men,Boots,Coach,Pink,41,Yes,No,Yes,2
d790,28/02/17,17093,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d791,01/03/17,15268,Men,Flip Flops,Kate Spade,Red,41,Yes,Yes,No,5
d792,02/03/17,15265,Men,Sneakers,Coach,Pink,40,Yes,Yes,No,5
d793,03/03/17,14839,Women,Stilettos,Tommy Hilfiger,White,39,Yes,Yes,No,4
d794,04/03/17,16015,Men,Boots,Kate Spade,Red,38,Yes,No,No,5
d795,05/03/17,14849,Men,Sneakers,Aldo,Black,39,Yes,No,Yes,1
d796,06/03/17,14935,Women,Wedges,Adidas,Blue,40,Yes,Yes,No,5
d797,07/03/17,14204,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,No,5
d798,08/03/17,14816,Men,Sneakers,Kate Spade,Red,41,Yes,Yes,Yes,1
d799,09/03/17,14835,Men,Flip Flops,Kate Spade,Red,40,Yes,No,No,3
d800,10/03/17,13514,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,Yes,1
d801,11/03/17,13360,Women,Stilettos,Tommy Hilfiger,White,38,Yes,Yes,No,5
d802,12/03/17,13075,Women,Stilettos,Coach,Pink,38,Yes,Yes,No,5
d803,13/03/17,14817,Men,Flip Flops,Coach,Pink,38,No,No,No,4
d804,14/03/17,13865,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,No,5
d805,15/03/17,14179,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,Yes,1
d806,16/03/17,14194,Women,Stilettos,Adidas,Blue,37,Yes,No,No,5
d807,17/03/17,15234,Men,Boots,Tommy Hilfiger,White,37,Yes,No,No,5
d808,18/03/17,15361,Men,Flip Flops,Coach,Pink,41,Yes,No,Yes,1
d809,19/03/17,15243,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,3
d810,20/03/17,22498,Men,Sneakers,Kate Spade,Red,37,Yes,No,Yes,1
d811,21/03/17,16885,Men,Boots,Adidas,Blue,40,Yes,Yes,No,5
d812,22/03/17,19033,Men,Flip Flops,Adidas,Blue,41,Yes,Yes,No,5
d813,23/03/17,20346,Men,Flip Flops,Kate Spade,Red,37,Yes,Yes,No,5
d814,24/03/17,26446,Women,Stilettos,Tommy Hilfiger,White,40,Yes,Yes,No,5
d815,25/03/17,15980,Men,Sneakers,Adidas,Blue,40,Yes,No,No,5
d816,26/03/17,13953,Men,Flip Flops,Aldo,Black,38,Yes,Yes,No,5
d817,27/03/17,13442,Men,Flip Flops,Adidas,Blue,39,Yes,No,No,5
d818,28/03/17,13262,Men,Flip Flops,Kate Spade,Red,38,Yes,Yes,No,4
d819,29/03/17,13156,Men,Boots,Aldo,Black,38,Yes,No,No,5
d820,30/03/17,14963,Men,Boots,Adidas,Blue,41,Yes,No,No,5
d821,31/03/17,16206,Men,Flip Flops,Aldo,Black,38,Yes,Yes,No,5
d822,01/04/17,16326,Women,Stilettos,Aldo,Black,37,Yes,Yes,No,5
d823,02/04/17,14651,Men,Boots,Aldo,Black,40,Yes,Yes,No,5
d824,03/04/17,15503,Men,Flip Flops,Kate Spade,Red,40,Yes,No,No,5
d825,04/04/17,15693,Women,Wedges,Tommy Hilfiger,White,38,Yes,Yes,No,5
d826,05/04/17,17480,Men,Flip Flops,Adidas,Blue,38,Yes,Yes,No,5
d827,06/04/17,14951,Men,Flip Flops,Adidas,Blue,40,Yes,No,No,5
d828,07/04/17,15089,Men,Boots,Aldo,Black,39,Yes,Yes,No,4
d829,08/04/17,18401,Men,Boots,Tommy Hilfiger,White,39,Yes,Yes,No,5
d830,09/04/17,16163,Men,Sneakers,Kate Spade,Red,40,Yes,Yes,No,5
d831,10/04/17,14560,Men,Boots,Kate Spade,Red,38,Yes,No,No,5
d832,11/04/17,14562,Men,Sneakers,Adidas,Blue,37,Yes,No,No,5
d833,12/04/17,15434,Men,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,No,4
d834,13/04/17,15170,Men,Sneakers,Aldo,Black,38,Yes,Yes,No,5
d835,14/04/17,15136,Men,Boots,Aldo,Black,39,Yes,No,No,4
d836,15/04/17,16037,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,5
d837,16/04/17,16811,Men,Sneakers,Aldo,Black,39,Yes,No,No,5
d838,17/04/17,16966,Men,Flip Flops,Kate Spade,Red,41,Yes,Yes,No,4
d839,18/04/17,16422,Men,Flip Flops,Kate Spade,Red,38,Yes,No,No,4
d840,19/04/17,16182,Men,Boots,Coach,Pink,40,Yes,No,No,5
d841,20/04/17,16488,Men,Sneakers,Adidas,Blue,39,Yes,Yes,No,5
d842,21/04/17,18763,Men,Boots,Aldo,Black,37,Yes,No,No,5
d843,22/04/17,15881,Women,Stilettos,Coach,Pink,37,Yes,Yes,No,4
d844,23/04/17,15743,Women,Wedges,Kate Spade,Red,41,Yes,No,No,5
d845,24/04/17,15132,Women,Wedges,Aldo,Black,40,Yes,Yes,No,4
d846,25/04/17,16272,Men,Boots,Tommy Hilfiger,White,41,Yes,No,No,5
d847,26/04/17,15883,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d848,27/04/17,15430,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,No,No,4
d849,28/04/17,15010,Women,Stilettos,Kate Spade,Red,37,Yes,No,No,4
d850,29/04/17,15774,Men,Sneakers,Aldo,Black,39,Yes,No,No,5
d851,30/04/17,16080,Men,Flip Flops,Adidas,Blue,37,Yes,No,Yes,1
d852,01/05/17,13751,Women,Wedges,Coach,Pink,40,Yes,Yes,No,5
d853,02/05/17,14256,Women,Wedges,Coach,Pink,41,Yes,No,No,4
d854,03/05/17,13691,Men,Flip Flops,Aldo,Black,37,Yes,No,Yes,3
d855,04/05/17,15181,Men,Sneakers,Kate Spade,Red,41,Yes,Yes,No,5
d856,05/05/17,14593,Women,Wedges,Kate Spade,Red,40,Yes,No,No,5
d857,06/05/17,14368,Men,Flip Flops,Adidas,Blue,37,Yes,No,Yes,3
d858,07/05/17,14314,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,4
d859,08/05/17,4967,Men,Sneakers,Adidas,Blue,40,Yes,Yes,No,5
d860,09/05/17,5241,Men,Sneakers,Coach,Pink,41,Yes,No,No,5
d861,10/05/17,5067,Men,Boots,Adidas,Blue,41,Yes,No,Yes,1
d862,11/05/17,4960,Men,Sneakers,Kate Spade,Red,41,Yes,No,No,5
d863,12/05/17,4914,Men,Boots,Aldo,Black,37,Yes,No,No,4
d864,13/05/17,4804,Men,Boots,Coach,Pink,40,Yes,No,Yes,3
d865,14/05/17,5744,Men,Boots,Coach,Pink,40,Yes,Yes,No,5
d866,15/05/17,5147,Men,Boots,Kate Spade,Red,37,Yes,No,No,5
d867,16/05/17,5611,Men,Boots,Tommy Hilfiger,White,41,Yes,Yes,Yes,3
d868,17/05/17,4842,Men,Flip Flops,Aldo,Black,41,Yes,No,No,4
d869,18/05/17,4062,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,5
d870,19/05/17,4047,Men,Boots,Kate Spade,Red,37,No,Yes,No,5
d871,20/05/17,3736,Men,Boots,Adidas,Blue,39,Yes,No,No,5
d872,21/05/17,3954,Men,Boots,Adidas,Blue,39,Yes,No,No,5
d873,22/05/17,3726,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,Yes,1
d874,23/05/17,3951,Men,Flip Flops,Coach,Pink,41,Yes,Yes,Yes,1
d875,24/05/17,4427,Men,Sneakers,Coach,Pink,38,Yes,Yes,Yes,1
d876,25/05/17,5091,Men,Sneakers,Kate Spade,Red,40,Yes,No,Yes,1
d877,26/05/17,4985,Men,Sneakers,Adidas,Blue,39,Yes,No,Yes,2
d878,27/05/17,4811,Men,Sneakers,Adidas,Blue,39,Yes,No,Yes,1
d879,28/05/17,5537,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,Yes,1
d880,29/05/17,5755,Men,Sneakers,Kate Spade,Red,38,Yes,No,Yes,3
d881,30/05/17,5934,Men,Flip Flops,Coach,Pink,41,Yes,No,No,5
d882,31/05/17,5571,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,No,5
d883,01/06/17,5702,Men,Sneakers,Tommy Hilfiger,White,41,Yes,Yes,Yes,1
d884,02/06/17,6035,Men,Flip Flops,Coach,Pink,37,Yes,No,Yes,1
d885,03/06/17,6438,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,Yes,1
d886,04/06/17,5981,Men,Sneakers,Kate Spade,Red,39,Yes,Yes,Yes,1
d887,05/06/17,5823,Men,Boots,Coach,Pink,37,Yes,Yes,Yes,2
d888,06/06/17,5543,Men,Sneakers,Kate Spade,Red,39,Yes,Yes,Yes,1
d889,07/06/17,5327,Men,Flip Flops,Adidas,Blue,39,Yes,No,Yes,1
d890,08/06/17,5357,Men,Boots,Aldo,Black,41,Yes,No,No,3
d891,09/06/17,4894,Men,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,No,5
d892,10/06/17,4880,Men,Boots,Coach,Pink,38,Yes,Yes,No,5
d893,11/06/17,4489,Men,Boots,Aldo,Black,41,Yes,Yes,No,5
d894,12/06/17,4802,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,No,5
d895,13/06/17,4633,Men,Boots,Coach,Pink,38,Yes,Yes,No,4
d896,14/06/17,4724,Women,Wedges,Coach,Pink,39,Yes,No,Yes,3
d897,15/06/17,4654,Men,Sneakers,Aldo,Black,38,Yes,No,No,5
d898,16/06/17,4805,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,No,5
d899,17/06/17,5075,Men,Boots,Coach,Pink,41,Yes,No,No,5
d900,18/06/17,4825,Men,Boots,Coach,Pink,38,Yes,No,No,5
d901,19/06/17,8351,Women,Wedges,Coach,Pink,39,Yes,Yes,No,5
d902,20/06/17,5528,Men,Boots,Aldo,Black,39,Yes,Yes,No,5
d903,21/06/17,5997,Men,Boots,Kate Spade,Red,38,Yes,Yes,No,5
d904,22/06/17,7163,Men,Sneakers,Aldo,Black,37,Yes,No,No,5
d905,23/06/17,10451,Women,Stilettos,Kate Spade,Red,39,Yes,No,No,4
d906,24/06/17,7295,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,3
d907,25/06/17,6611,Men,Flip Flops,Adidas,Blue,38,Yes,Yes,No,5
d908,26/06/17,5473,Men,Flip Flops,Kate Spade,Red,38,Yes,No,No,5
d909,27/06/17,5215,Men,Sneakers,Kate Spade,Red,40,Yes,No,No,5
d910,28/06/17,5133,Women,Stilettos,Kate Spade,Red,37,Yes,No,No,5
d911,29/06/17,5580,Men,Boots,Kate Spade,Red,40,Yes,No,Yes,3
d912,30/06/17,5599,Men,Flip Flops,Adidas,Blue,41,Yes,No,No,5
d913,01/07/17,5723,Women,Sneakers,Aldo,Black,38,Yes,Yes,No,5
d914,02/07/17,5466,Women,Sneakers,Coach,Pink,38,Yes,No,Yes,1
d915,03/07/17,5513,Women,Flip Flops,Adidas,Blue,41,Yes,Yes,No,5
d916,04/07/17,5589,Women,Sneakers,Coach,Pink,40,Yes,No,No,5
d917,05/07/17,6350,Women,Flip Flops,Kate Spade,Red,38,Yes,No,Yes,2
d918,06/07/17,5590,Women,Flip Flops,Adidas,Blue,40,Yes,No,Yes,1
d919,07/07/17,5134,Women,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,2
d920,08/07/17,5005,Women,Flip Flops,Aldo,Black,40,Yes,Yes,No,5
d921,09/07/17,4233,Women,Stilettos,Tommy Hilfiger,White,37,Yes,No,Yes,3
d922,10/07/17,4665,Women,Sneakers,Adidas,Blue,37,Yes,Yes,No,5
d923,11/07/17,4104,Women,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d924,12/07/17,4070,Women,Boots,Kate Spade,Red,40,Yes,Yes,Yes,1
d925,13/07/17,4140,Women,Flip Flops,Adidas,Blue,40,Yes,Yes,No,5
d926,14/07/17,4246,Women,Sneakers,Coach,Pink,37,Yes,No,No,5
d927,15/07/17,4572,Women,Boots,Tommy Hilfiger,White,37,Yes,No,Yes,2
d928,16/07/17,5422,Women,Sneakers,Kate Spade,Red,39,Yes,No,Yes,1
d929,17/07/17,6211,Women,Flip Flops,Aldo,Black,40,Yes,No,Yes,2
d930,18/07/17,6109,Women,Boots,Kate Spade,Red,41,Yes,No,No,5
d931,19/07/17,6400,Women,Stilettos,Tommy Hilfiger,White,37,Yes,Yes,Yes,1
d932,20/07/17,7043,Women,Sneakers,Aldo,Black,40,Yes,No,Yes,1
d933,21/07/17,7617,Women,Sneakers,Aldo,Black,38,Yes,Yes,Yes,3
d934,22/07/17,6427,Women,Flip Flops,Aldo,Black,41,Yes,No,No,4
d935,23/07/17,6880,Women,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,Yes,1
d936,24/07/17,6533,Women,Flip Flops,Coach,Pink,39,Yes,No,No,5
d937,25/07/17,6953,Women,Flip Flops,Kate Spade,Red,40,Yes,No,Yes,3
d938,26/07/17,6706,Women,Flip Flops,Aldo,Black,39,Yes,No,Yes,1
d939,27/07/17,6451,Women,Sneakers,Tommy Hilfiger,White,38,Yes,No,Yes,1
d940,28/07/17,6299,Women,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,1
d941,29/07/17,5923,Women,Boots,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d942,30/07/17,6131,Women,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,1
d943,31/07/17,5589,Women,Boots,Kate Spade,Red,38,Yes,Yes,Yes,3
d944,01/08/17,5361,Women,Flip Flops,Adidas,Blue,38,Yes,No,No,4
d945,02/08/17,4888,Women,Sneakers,Aldo,Black,38,Yes,Yes,Yes,1
d946,03/08/17,5258,Women,Flip Flops,Kate Spade,Red,38,Yes,No,No,5
d947,04/08/17,5019,Women,Sneakers,Coach,Pink,40,Yes,No,Yes,3
d948,05/08/17,5586,Women,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,Yes,1
